Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
B.Silk logo,LOGO,Back,179.3875,-81.4705,180,bottom
BZ1,Buzzer,Buzzer_Murata_PKMCS0909E4000-R1,151.606,-80.9625,0,bottom
C1,4u7,C_0603_1608Metric,98.806,-76.835,270,bottom
C2,100n,C_0603_1608Metric,112.395,-70.104,270,bottom
C3,100n,C_0603_1608Metric,101.346,-75.946,0,bottom
C4,100n,C_0603_1608Metric,109.093,-89.027,90,bottom
C5,100n,C_0603_1608Metric,118.745,-84.582,90,bottom
C6,100n,C_0603_1608Metric,112.903,-89.154,90,bottom
C7,10u,C_0603_1608Metric,20.1612,-47.3392,270,bottom
C8,1u,C_0603_1608Metric,88.9,-61.9125,270,bottom
C9,1u,C_0603_1608Metric,95.25,-61.9125,270,bottom
C10,15p,C_0603_1608Metric,124.46,-82.042,0,bottom
C11,15p,C_0603_1608Metric,123.571,-76.2,0,bottom
C12,4u7,C_0603_1608Metric,33.7502,-54.4512,270,bottom
C13,10u,C_0603_1608Metric,28.663,-58.1342,180,bottom
C14,100n,C_0603_1608Metric,74.93,-58.039,0,bottom
C15,100n,C_0603_1608Metric,131.953,-58.166,0,bottom
C16,100n,C_0603_1608Metric,179.705,-58.166,0,bottom
C17,100n,C_0603_1608Metric,246.253,-58.166,0,bottom
C18,100n,C_0603_1608Metric,303.53,-58.166,0,bottom
C19,100n,C_0603_1608Metric,303.403,-77.216,0,bottom
C20,100n,C_0603_1608Metric,246.38,-77.216,0,bottom
C21,100n,C_0603_1608Metric,179.705,-77.216,0,bottom
C22,100n,C_0603_1608Metric,132.08,-77.216,0,bottom
C23,100n,C_0603_1608Metric,74.93,-77.216,0,bottom
C24,100n,C_0603_1608Metric,74.93,-96.266,0,bottom
C25,100n,C_0603_1608Metric,132.08,-96.266,0,bottom
C26,100n,C_0603_1608Metric,179.705,-96.266,0,bottom
C27,100n,C_0603_1608Metric,246.507,-96.266,0,bottom
C28,100n,C_0603_1608Metric,303.53,-96.266,0,bottom
C29,100n,C_0603_1608Metric,303.657,-115.316,0,bottom
C30,100n,C_0603_1608Metric,246.329,-115.341,0,bottom
C31,100n,C_0603_1608Metric,179.705,-115.316,0,bottom
C32,100n,C_0603_1608Metric,132.08,-115.316,0,bottom
C33,100n,C_0603_1608Metric,75.057,-115.316,0,bottom
C34,100n,C_0603_1608Metric,55.118,-127.508,90,bottom
C35,100n,C_0603_1608Metric,112.459,-127.191,90,bottom
C36,100n,C_0603_1608Metric,226.67,-127.597,90,bottom
C37,100n,C_0603_1608Metric,283.781,-127.381,90,bottom
D1,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,73.025,-61.9125,180,bottom
D2,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,130.175,-61.9125,180,bottom
D3,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,177.8,-61.9125,180,bottom
D4,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,244.475,-61.9125,180,bottom
D5,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,301.625,-61.9125,180,bottom
D6,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,301.625,-80.9625,180,bottom
D7,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,244.475,-80.9625,180,bottom
D8,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,177.8,-80.9625,180,bottom
D9,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,130.175,-80.9625,180,bottom
D10,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,73.025,-80.9625,180,bottom
D11,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,73.025,-100.012,180,bottom
D12,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,130.175,-100.012,180,bottom
D13,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,177.8,-100.012,180,bottom
D14,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,244.475,-100.012,180,bottom
D15,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,301.625,-100.012,180,bottom
D16,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,301.625,-119.062,180,bottom
D17,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,244.424,-119.087,180,bottom
D18,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,177.8,-119.062,180,bottom
D19,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,130.048,-119.062,180,bottom
D20,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,73.025,-119.062,180,bottom
D26,1N4148,D_SOD123,32.385,-58.674,90,bottom
D_1,1N4148,D_SOD123,33.401,-33.654,90,bottom
D_2,1N4148,D_SOD123,52.451,-33.655,90,bottom
D_3,1N4148,D_SOD123,71.4375,-33.5915,90,bottom
D_4,1N4148,D_SOD123,90.4875,-33.5915,90,bottom
D_5,1N4148,D_SOD123,109.601,-34.2265,90,bottom
D_6,1N4148,D_SOD123,128.651,-33.5915,90,bottom
D_7,1N4148,D_SOD123,147.701,-33.5915,90,bottom
D_8,1N4148,D_SOD123,166.751,-33.5915,90,bottom
D_9,1N4148,D_SOD123,185.801,-33.5915,90,bottom
D_10,1N4148,D_SOD123,204.851,-33.5915,90,bottom
D_11,1N4148,D_SOD123,223.901,-33.5915,90,bottom
D_12,1N4148,D_SOD123,242.951,-33.5915,90,bottom
D_13,1N4148,D_SOD123,262.001,-33.5915,90,bottom
D_14,1N4148,D_SOD123,281.051,-33.5915,90,bottom
D_15,1N4148,D_SOD123,300.101,-33.5915,90,bottom
D_16,1N4148,D_SOD123,303.149,-33.5915,90,bottom
D_17,1N4148,D_SOD123,52.451,-52.705,90,bottom
D_18,1N4148,D_SOD123,71.501,-52.705,90,bottom
D_19,1N4148,D_SOD123,90.551,-52.6415,90,bottom
D_20,1N4148,D_SOD123,109.601,-52.705,90,bottom
D_21,1N4148,D_SOD123,128.651,-52.6415,90,bottom
D_22,1N4148,D_SOD123,147.701,-52.6415,90,bottom
D_23,1N4148,D_SOD123,166.751,-52.6415,90,bottom
D_24,1N4148,D_SOD123,185.801,-52.705,90,bottom
D_25,1N4148,D_SOD123,204.851,-52.705,90,bottom
D_26,1N4148,D_SOD123,223.901,-52.6415,90,bottom
D_27,1N4148,D_SOD123,242.951,-52.705,90,bottom
D_28,1N4148,D_SOD123,262.001,-52.6415,90,bottom
D_29,1N4148,D_SOD123,281.051,-52.6415,90,bottom
D_30,1N4148,D_SOD123,284.099,-52.6415,90,bottom
D_31,1N4148,D_SOD123,300.546,-44.704,90,bottom
D_32,1N4148,D_SOD123,322.136,-52.959,90,bottom
D_33,1N4148,D_SOD123,33.528,-77.47,90,bottom
D_34,1N4148,D_SOD123,52.578,-70.993,90,bottom
D_35,1N4148,D_SOD123,71.501,-71.0565,90,bottom
D_36,1N4148,D_SOD123,90.551,-71.0565,90,bottom
D_37,1N4148,D_SOD123,93.726,-71.0565,90,bottom
D_38,1N4148,D_SOD123,128.651,-71.0565,90,bottom
D_39,1N4148,D_SOD123,147.701,-71.0565,90,bottom
D_40,1N4148,D_SOD123,166.751,-71.0565,90,bottom
D_41,1N4148,D_SOD123,185.801,-71.0565,90,bottom
D_42,1N4148,D_SOD123,204.851,-71.0565,90,bottom
D_43,1N4148,D_SOD123,223.901,-71.0565,90,bottom
D_44,1N4148,D_SOD123,242.951,-71.0565,90,bottom
D_45,1N4148,D_SOD123,262.001,-71.0565,90,bottom
D_46,1N4148,D_SOD123,281.051,-71.0565,90,bottom
D_47,1N4148,D_SOD123,300.101,-71.0565,90,bottom
D_48,1N4148,D_SOD123,319.151,-71.0565,90,bottom
D_49,1N4148,D_SOD123,322.199,-71.0565,90,bottom
D_50,1N4148,D_SOD123,33.401,-96.393,90,bottom
D_51,1N4148,D_SOD123,52.578,-90.17,90,bottom
D_52,1N4148,D_SOD123,71.501,-89.4715,90,bottom
D_53,1N4148,D_SOD123,90.551,-90.1065,90,bottom
D_54,1N4148,D_SOD123,93.726,-90.1065,90,bottom
D_55,1N4148,D_SOD123,128.651,-90.1065,90,bottom
D_56,1N4148,D_SOD123,147.701,-90.1065,90,bottom
D_57,1N4148,D_SOD123,166.751,-90.1065,90,bottom
D_58,1N4148,D_SOD123,185.801,-90.17,90,bottom
D_59,1N4148,D_SOD123,204.851,-90.1065,90,bottom
D_60,1N4148,D_SOD123,223.901,-90.1065,90,bottom
D_61,1N4148,D_SOD123,242.888,-90.1065,90,bottom
D_62,1N4148,D_SOD123,262.001,-90.1065,90,bottom
D_63,1N4148,D_SOD123,281.051,-90.1065,90,bottom
D_64,1N4148,D_SOD123,300.101,-90.1065,90,bottom
D_65,1N4148,D_SOD123,303.149,-90.1065,90,bottom
D_66,1N4148,D_SOD123,319.214,-83.312,90,bottom
D_67,1N4148,D_SOD123,33.401,-115.57,90,bottom
D_68,1N4148,D_SOD123,52.578,-108.966,90,bottom
D_69,1N4148,D_SOD123,71.501,-109.156,90,bottom
D_70,1N4148,D_SOD123,90.4875,-109.156,90,bottom
D_71,1N4148,D_SOD123,109.538,-109.156,90,bottom
D_72,1N4148,D_SOD123,128.588,-109.156,90,bottom
D_73,1N4148,D_SOD123,147.638,-109.156,90,bottom
D_74,1N4148,D_SOD123,166.688,-109.156,90,bottom
D_75,1N4148,D_SOD123,185.738,-109.156,90,bottom
D_76,1N4148,D_SOD123,204.788,-109.156,90,bottom
D_77,1N4148,D_SOD123,223.838,-109.156,90,bottom
D_78,1N4148,D_SOD123,242.888,-109.156,90,bottom
D_79,1N4148,D_SOD123,261.938,-109.156,90,bottom
D_80,1N4148,D_SOD123,280.988,-109.156,90,bottom
D_81,1N4148,D_SOD123,300.038,-109.22,90,bottom
D_82,1N4148,D_SOD123,303.212,-109.22,90,bottom
D_83,1N4148,D_SOD123,319.088,-102.426,90,bottom
D_84,1N4148,D_SOD123,33.3375,-128.27,90,bottom
D_85,1N4148,D_SOD123,52.3875,-128.27,90,bottom
D_86,1N4148,D_SOD123,71.4375,-128.206,90,bottom
D_87,1N4148,D_SOD123,90.4875,-128.27,90,bottom
D_88,1N4148,D_SOD123,109.538,-128.206,90,bottom
D_89,1N4148,D_SOD123,128.588,-128.206,90,bottom
D_90,1N4148,D_SOD123,147.638,-128.27,90,bottom
D_91,1N4148,D_SOD123,166.751,-128.206,90,bottom
D_92,1N4148,D_SOD123,185.801,-128.206,90,bottom
D_93,1N4148,D_SOD123,204.788,-128.206,90,bottom
D_94,1N4148,D_SOD123,223.838,-128.206,90,bottom
D_95,1N4148,D_SOD123,242.951,-128.206,90,bottom
D_96,1N4148,D_SOD123,261.938,-128.206,90,bottom
D_97,1N4148,D_SOD123,280.988,-128.206,90,bottom
D_98,1N4148,D_SOD123,300.101,-128.206,90,bottom
D_99,1N4148,D_SOD123,319.088,-128.206,90,bottom
D_100,1N4148,D_SOD123,322.262,-128.206,90,bottom
F1,500mA,Fuse_0805_2012Metric,22.6862,-48.133,180,bottom
Q1,BSS138,SOT-23,76.2,-42.8625,180,bottom
Q2,DTC123J,SOT95P280X100-3N,31.369,-53.6575,90,bottom
R1,10K,R_1608,76.2,-45.593,180,bottom
R2,10K,R_1608,78.867,-42.926,270,bottom
R3,5k1,R_1608,19.3675,-57.1818,180,bottom
R4,5k1,R_1608,19.3675,-58.7692,0,bottom
R5,1K5,R_0603_1608Metric,101.346,-77.597,180,bottom
R6,5K1,R_1608,16.4465,-44.45,90,bottom
R7,100K,R_1608,28.6068,-59.7218,180,bottom
SW1,EVQPUL02K,Panasonic_EVQPUL_EVQPUC,15.875,-38.1,270,bottom
U1,AP2112K-3.3,SOT-23-5,92.075,-61.9125,0,bottom
U2,USBLC6-2SC6,SOT-23-6,17.4625,-52.3875,0,bottom
U3,STM32F303RCTx,LQFP-64_10x10mm_P0.5mm,110.49,-79.248,180,bottom
Y1,8MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,121.222,-80.01,45,bottom
